dtype,context_length,attention_speedup_x,end_to_end_speedup_x,flashattention_model_ms,customsa_model_ms
FP16,2048,0.961107004491782,0.9970887627732749,25.29052710007305,25.364368794740685
FP16,4096,1.064032817873719,1.0074271152292535,43.12407427319211,42.8061480788897
FP16,8192,1.0712671089806813,1.0150611805543097,85.70763412710006,84.43592934989043
FP16,16384,1.073338516242892,1.0262947494136525,198.54061586559536,193.4537967567568
FP16,32768,1.0738753202364335,1.0395459217199319,534.8700274653032,514.5227510299488
FP16,65536,1.0836805579799667,1.058500906741708,1650.182643155588,1558.9808498466034
FP16,131072,1.0837192727936151,1.0690058029785954,5651.423044499635,5286.615871263696
FP16,262144,1.0861752033154581,1.077892109069397,20736.364527041635,19237.88508382761
FP16,524288,1.0861777011114726,1.0818369741541174,79236.09021154125,73242.17243868516
INT8,2048,1.343422016950755,1.0262919778835344,18.179469335281222,17.71374007304602
INT8,4096,1.719057162553964,1.082610258168682,28.89644838568298,26.6914599853908
INT8,8192,1.860483459675465,1.1821939899090803,57.22963827611395,48.40968467494522
INT8,16384,1.9049821011580947,1.332160573135878,141.49294521548575,106.21313081081082
INT8,32768,1.9168352997417184,1.5052821908227867,420.4072677282688,279.2880101095691
INT8,65536,1.9371240851823923,1.6706585580487636,1419.7867472899927,849.836575193572
INT8,131072,1.937901312203138,1.784799042482666,5184.7490445580725,2904.948356172388
INT8,262144,1.9424704514564073,1.8592553839124633,19779.486991672755,10638.391671643536
INT8,524288,1.942519428250401,1.8991867408875853,77228.2162962162,40663.83501609935
