case_name,case_label,system_config_path,data_type,prefill_length,batch_size,hidden_size,num_heads,head_dim,compile_mode,variant,variant_label,attention_variant,total_latency_ms,q_mul_k_ms,softmax_ms,softmax_scale,a_mul_v_ms,compute_model_ms,fused_core_ms,hbm_io_ms,onchip_io_ms,kernel_overhead_ms,bottleneck_component,bottleneck_ms,bottleneck_share_of_total,software_q_tile_size,software_kv_tile_size,logical_q_tile_size,tensor_tflops,vector_tflops,tensor_vector_ratio,source
h100_int8,H100 INT8,${BUNDLE_ROOT}/LLMCompass/configs/ours/H100.json,int8,2048,1,4096,32,128,fixed-tile,baseline,FlashAttention,flashattention,0.07252267978934646,0.022348890615557282,0.05152267978934646,1.0,0.0191662954329621,0.05152267978934646,0.0,0.0,0.0,0.020999999999999998,softmax,0.05152267978934646,0.7104354105364308,,,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${BUNDLE_ROOT}/LLMCompass/configs/ours/H100.json,int8,2048,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,0.060767521367521365,0.0,0.0,1.0,0.0,0.0,0.03976752136752137,0.0,0.0,0.020999999999999998,fused_core,0.03976752136752137,0.6544206588089679,128,512,128,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${BUNDLE_ROOT}/LLMCompass/configs/ours/H100.json,int8,2048,1,4096,32,128,fixed-tile,illm,FlashAttention + I-LLM,flashattention_illm,0.10709804023137356,0.022348890615557282,0.08609804023137357,1.671,0.0191662954329621,0.08609804023137357,0.0,0.0,0.0,0.020999999999999998,softmax,0.08609804023137357,0.8039179806219442,128,512,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${BUNDLE_ROOT}/LLMCompass/configs/ours/H100.json,int8,2048,1,4096,32,128,fixed-tile,intattention,FlashAttention + IntAttention,flashattention_intattention,0.07732309418976085,0.022348890615557282,0.05632309418976086,1.093,0.0191662954329621,0.05632309418976086,0.0,0.0,0.0,0.020999999999999998,softmax,0.05632309418976086,0.7284123169144876,128,512,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${BUNDLE_ROOT}/LLMCompass/configs/ours/H100.json,int8,4096,1,4096,32,128,fixed-tile,baseline,FlashAttention,flashattention,0.22709071915738582,0.08939556246222913,0.20609071915738583,1.0,0.0766651817318484,0.20609071915738583,0.0,0.0,0.0,0.020999999999999998,softmax,0.20609071915738583,0.907525943473516,,,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${BUNDLE_ROOT}/LLMCompass/configs/ours/H100.json,int8,4096,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,0.18007008547008546,0.0,0.0,1.0,0.0,0.0,0.15907008547008547,0.0,0.0,0.020999999999999998,fused_core,0.15907008547008547,0.8833787414207194,128,512,128,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${BUNDLE_ROOT}/LLMCompass/configs/ours/H100.json,int8,4096,1,4096,32,128,fixed-tile,illm,FlashAttention + I-LLM,flashattention_illm,0.3682918587585255,0.08939556246222913,0.3472918587585255,1.685,0.0766651817318484,0.3472918587585255,0.0,0.0,0.0,0.020999999999999998,softmax,0.3472918587585255,0.9429800048505311,128,512,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${BUNDLE_ROOT}/LLMCompass/configs/ours/H100.json,int8,4096,1,4096,32,128,fixed-tile,intattention,FlashAttention + IntAttention,flashattention_intattention,0.2514198912198912,0.08939556246222913,0.23041989121989123,1.118,0.0766651817318484,0.23041989121989123,0.0,0.0,0.0,0.020999999999999998,softmax,0.23041989121989123,0.9164743891260638,128,512,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${BUNDLE_ROOT}/LLMCompass/configs/ours/H100.json,int8,8192,1,4096,32,128,fixed-tile,baseline,FlashAttention,flashattention,0.8453628766295432,0.3575822498489165,0.8243628766295433,1.0,0.3066607269273936,0.8243628766295433,0.0,0.0,0.0,0.020999999999999998,softmax,0.8243628766295433,0.9751585968812272,,,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${BUNDLE_ROOT}/LLMCompass/configs/ours/H100.json,int8,8192,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,0.6572803418803419,0.0,0.0,1.0,0.0,0.0,0.6362803418803419,0.0,0.0,0.020999999999999998,fused_core,0.6362803418803419,0.9680501626749959,128,512,128,1897.75872,59.30496,32.0,fixed_tile_model
